SAR_1_PREDICTION,SAR_0_PREDICTION,SAR_PREDICTION,THRESHOLD,POSITIVE_CLASS,EXPLANATION_1_FEATURE_NAME,EXPLANATION_1_STRENGTH,EXPLANATION_1_ACTUAL_VALUE,EXPLANATION_1_QUALITATIVE_STRENGTH,EXPLANATION_2_FEATURE_NAME,EXPLANATION_2_STRENGTH,EXPLANATION_2_ACTUAL_VALUE,EXPLANATION_2_QUALITATIVE_STRENGTH,EXPLANATION_3_FEATURE_NAME,EXPLANATION_3_STRENGTH,EXPLANATION_3_ACTUAL_VALUE,EXPLANATION_3_QUALITATIVE_STRENGTH,EXPLANATION_4_FEATURE_NAME,EXPLANATION_4_STRENGTH,EXPLANATION_4_ACTUAL_VALUE,EXPLANATION_4_QUALITATIVE_STRENGTH,EXPLANATION_5_FEATURE_NAME,EXPLANATION_5_STRENGTH,EXPLANATION_5_ACTUAL_VALUE,EXPLANATION_5_QUALITATIVE_STRENGTH,EXPLANATION_6_FEATURE_NAME,EXPLANATION_6_STRENGTH,EXPLANATION_6_ACTUAL_VALUE,EXPLANATION_6_QUALITATIVE_STRENGTH,EXPLANATION_7_FEATURE_NAME,EXPLANATION_7_STRENGTH,EXPLANATION_7_ACTUAL_VALUE,EXPLANATION_7_QUALITATIVE_STRENGTH,EXPLANATION_8_FEATURE_NAME,EXPLANATION_8_STRENGTH,EXPLANATION_8_ACTUAL_VALUE,EXPLANATION_8_QUALITATIVE_STRENGTH,EXPLANATION_9_FEATURE_NAME,EXPLANATION_9_STRENGTH,EXPLANATION_9_ACTUAL_VALUE,EXPLANATION_9_QUALITATIVE_STRENGTH,EXPLANATION_10_FEATURE_NAME,EXPLANATION_10_STRENGTH,EXPLANATION_10_ACTUAL_VALUE,EXPLANATION_10_QUALITATIVE_STRENGTH,DEPLOYMENT_APPROVAL_STATUS,ALERT,kycRiskScore,income,tenureMonths,creditScore,state,nbrPurchases90d,avgTxnSize90d,totalSpend90d,csrNotes,nbrDistinctMerch90d,nbrMerchCredits90d,nbrMerchCreditsRndDollarAmt90d,totalMerchCred90d,nbrMerchCreditsWoOffsettingPurch,nbrPayments90d,totalPaymentAmt90d,overpaymentAmt90d,overpaymentInd90d,nbrCustReqRefunds90d,indCustReqRefund90d,totalRefundsToCust90d,nbrPaymentsCashLike90d,maxRevolveLine,indOwnsHome,nbrInquiries1y,nbrCollections3y,nbrWebLogins90d,nbrPointRed90d,PEP,association_id
0,1,0,0.1,1,totalPaymentAmt90d,-3.582150628,704.76,---,overpaymentAmt90d,-3.055698958,0,---,totalMerchCred90d,-1.767726201,0,--,totalSpend90d,-1.479788391,704.76,--,nbrCustReqRefunds90d,-1.287606407,1,--,avgTxnSize90d,-0.646656459,176.19,--,maxRevolveLine,0,16000,<+,creditScore,0,694,<+,tenureMonths,0,17,<+,income,0,27500,<+,APPROVED,1,2,27500,17,694,MA,4,176.19,704.76, ,2,0,0,0,0,4,704.76,0,0,1,1,34.28,0,16000,1,4,0,8,0,0,598
0.000412698,0.999587302,0,0.1,1,maxRevolveLine,3.663390557,16000,+++,totalSpend90d,-2.649039422,7632.56,---,overpaymentAmt90d,-1.240788381,0,--,totalMerchCred90d,-1.21552622,374.76,--,avgTxnSize90d,-0.940436355,186.16,--,totalPaymentAmt90d,-0.808010755,7632.56,--,nbrCustReqRefunds90d,-0.600940504,1,--,creditScore,-0.220335635,703,-,tenureMonths,-0.120722074,6,-,income,-0.072460003,42900,-,APPROVED,1,2,42900,6,703,MA,41,186.16,7632.56, ,10,2,0,374.76,0,2,7632.56,0,0,1,1,56.93,2,16000,1,2,0,9,0,0,599
0.525825307,0.474174693,1,0.1,1,totalMerchCred90d,0.891263536,1499.52,+++,totalSpend90d,0.358914722,15140.52,+++,tenureMonths,0.099696453,61,++,totalPaymentAmt90d,0.087273177,17772.36,++,nbrCustReqRefunds90d,0.045735095,1,+,creditScore,0.043801826,728,+,overpaymentAmt90d,0.042051701,2631.84,+,avgTxnSize90d,-0.041534606,186.92,-,maxRevolveLine,0.038494444,14000,+,state,-0.032513061,MA,-,APPROVED,1,1,58100,61,728,MA,81,186.92,15140.52, ,43,8,0,1499.52,3,3,17772.36,2631.84,1,1,1,2719.46,3,14000,1,2,0,2,2,0,600
0,1,0,0.1,1,totalPaymentAmt90d,-3.038048347,562.65,---,totalSpend90d,-2.875717442,562.65,---,overpaymentAmt90d,-2.435162713,0,---,totalMerchCred90d,-1.772689451,127.69,--,nbrCustReqRefunds90d,-1.219288438,1,--,avgTxnSize90d,-0.660481023,51.15,--,maxRevolveLine,0,16000,<+,creditScore,0,681,<+,tenureMonths,0,11,<+,income,0,31200,<+,APPROVED,1,2,31200,11,681,MA,11,51.15,562.65,late payment late payment customer call,5,3,2,127.69,0,5,562.65,0,0,1,1,45.01,2,16000,1,1,1,7,1,0,601
0,1,0,0.1,1,overpaymentAmt90d,-2.864968788,0,---,totalSpend90d,-2.835053908,2608.65,---,totalMerchCred90d,-1.77625232,480.87,--,totalPaymentAmt90d,-1.657866126,183.6,--,nbrCustReqRefunds90d,-1.231915624,1,--,avgTxnSize90d,-0.547290788,47.43,--,maxRevolveLine,0,14000,<+,creditScore,0,710,<+,tenureMonths,0,9,<+,income,0,34800,<+,APPROVED,1,1,34800,9,710,ME,55,47.43,2608.65,customer call customer call billing address,20,10,1,480.87,5,3,183.6,0,0,1,1,78.21,3,14000,1,4,0,10,1,0,602
0,1,0,0.1,1,totalPaymentAmt90d,-2.9611609,2208.58,---,overpaymentAmt90d,-2.839006663,0,---,totalSpend90d,-2.809171916,2208.58,---,totalMerchCred90d,-1.749093021,293.04,--,nbrCustReqRefunds90d,-1.220913587,1,--,avgTxnSize90d,-0.646656459,100.39,--,maxRevolveLine,0,14000,<+,creditScore,0,672,<+,tenureMonths,0,16,<+,income,0,16800,<+,APPROVED,1,2,16800,16,672,NY,22,100.39,2208.58, ,10,3,1,293.04,0,4,2208.58,0,0,1,1,43.4,4,14000,0,1,0,8,2,0,603
0.452211554,0.547788446,1,0.1,1,overpaymentAmt90d,3.217437094,2646.74,+++,tenureMonths,0.302472744,19,++,totalPaymentAmt90d,0.290845459,2862.54,++,income,0.226579252,20900,++,csrNotes,0.074043265,nan,+,totalSpend90d,0.065448263,215.8,+,nbrCustReqRefunds90d,0.052101172,1,+,avgTxnSize90d,0.043244807,53.95,+,maxRevolveLine,0.026292502,8000,+,state,0.008133451,MA,+,APPROVED,1,3,20900,19,773,MA,4,53.95,215.8, ,2,0,0,0,0,2,2862.54,2646.74,1,1,1,2684.08,2,8000,1,5,0,7,3,0,604
0,1,0,0.1,1,totalPaymentAmt90d,-3.127623027,93.23,---,totalSpend90d,-2.745971539,93.23,---,overpaymentAmt90d,-2.739046314,0,---,totalMerchCred90d,-1.791510537,0,--,nbrCustReqRefunds90d,-1.273732517,1,--,avgTxnSize90d,-1.140644705,93.23,--,maxRevolveLine,0,15000,<+,creditScore,0,651,<+,tenureMonths,0,58,<+,income,0,6900,<+,APPROVED,1,0,6900,58,651,NJ,1,93.23,93.23,customer call billing address   statement,0,0,0,0,0,3,93.23,0,0,1,1,52.62,0,15000,1,5,1,9,1,0,605
0.0001,0.9999,0,0.1,1,totalSpend90d,-4.732246586,5698.98,---,totalMerchCred90d,-2.902536765,653.1,---,income,2.280002706,170000,++,overpaymentAmt90d,-1.450632011,0,--,avgTxnSize90d,-0.942314055,45.23,--,creditScore,-0.778604156,684,--,nbrCustReqRefunds90d,-0.760886027,1,--,tenureMonths,-0.513879137,18,-,totalPaymentAmt90d,0.032767512,5698.98,+,maxRevolveLine,0,11000,<-,APPROVED,1,1,170000,18,684,MA,126,45.23,5698.98, ,60,14,7,653.1,7,4,5698.98,0,0,1,1,34.9,4,11000,1,4,0,94,1,0,606
0,1,0,0.1,1,totalPaymentAmt90d,-3.001842703,72.56,---,overpaymentAmt90d,-2.914432802,0,---,totalSpend90d,-2.289528833,1451.25,---,totalMerchCred90d,-1.296989221,0,--,nbrCustReqRefunds90d,-1.26175054,1,--,maxRevolveLine,0,7000,<+,creditScore,0,748,<+,avgTxnSize90d,0,290.25,<+,tenureMonths,0,10,<+,income,0,35600,<+,APPROVED,1,0,35600,10,748,CT,5,290.25,1451.25, ,3,0,0,0,0,2,72.56,0,0,1,1,29.9,0,7000,0,4,0,6,0,0,607
0.432604396,0.567395604,1,0.1,1,totalMerchCred90d,0.574846802,1698.42,+++,overpaymentAmt90d,-0.190057003,2671.47,--,maxRevolveLine,-0.11915698,17000,--,totalPaymentAmt90d,0.115941497,14513.44,++,totalSpend90d,0.083618868,11841.97,++,tenureMonths,-0.080302329,20,--,income,-0.053095571,110000,-,nbrCustReqRefunds90d,0.047693152,1,+,csrNotes,0.041665192,card replace change request statement cash,+,creditScore,0.019156564,744,+,APPROVED,1,1,110000,20,744,RI,167,70.91,11841.97,card replace change request statement cash,76,25,4,1698.42,7,5,14513.44,2671.47,1,1,1,2736.82,5,17000,1,0,0,4,1,0,608
0.737428466,0.262571534,1,0.1,1,totalMerchCred90d,2.741755626,1893.72,+++,totalSpend90d,0.34543257,24335.08,++,totalPaymentAmt90d,0.159109775,24335.08,+,avgTxnSize90d,0.140814504,316.04,+,overpaymentAmt90d,0.133887916,0,+,maxRevolveLine,0.052311892,21000,+,nbrCustReqRefunds90d,0.048404436,1,+,creditScore,0.032346052,687,+,tenureMonths,-0.031970636,5,-,income,-0.024711782,62600,-,APPROVED,1,2,62600,5,687,PA,77,316.04,24335.08, ,40,6,0,1893.72,2,6,24335.08,0,0,1,1,53.99,6,21000,1,4,0,8,1,0,609
0,1,0,0.1,1,totalPaymentAmt90d,-3.009427527,60,---,totalSpend90d,-2.999287811,280.29,---,overpaymentAmt90d,-2.817415676,0,---,totalMerchCred90d,-1.299010454,0,--,nbrCustReqRefunds90d,-1.25904252,1,--,avgTxnSize90d,-0.455647426,280.29,-,maxRevolveLine,0,13000,<+,creditScore,0,739,<+,tenureMonths,0,3,<+,income,0,31700,<+,APPROVED,1,3,31700,3,739,NJ,1,280.29,280.29,transfer plastic replace billing address statement,0,0,0,0,0,6,60,0,0,1,1,45,0,13000,0,4,0,10,1,0,610
0.331487199,0.668512802,1,0.1,1,nbrCustReqRefunds90d,4.498259675,2,+++,totalSpend90d,0.436389892,5.56,++,overpaymentAmt90d,0.347650362,54.44,++,income,0.234487993,13500,+,tenureMonths,0.124989063,34,+,totalMerchCred90d,0.080735737,1.55,+,totalPaymentAmt90d,0.074208795,60,+,avgTxnSize90d,0.047005894,1.39,+,creditScore,0.040607835,691,+,csrNotes,-0.039886452,nan,-,APPROVED,1,2,13500,34,691,NY,4,1.39,5.56, ,2,1,0,1.55,0,2,60,54.44,1,2,1,78.62,0,10000,1,2,0,9,3,0,611
0.002599386,0.997400614,0,0.1,1,overpaymentAmt90d,5.083443933,413.09,+++,totalPaymentAmt90d,-0.673372515,1063.22,--,nbrCustReqRefunds90d,-0.501793802,1,--,totalSpend90d,-0.486549682,650.13,--,totalMerchCred90d,-0.409158553,50.09,--,csrNotes,0.260545982,  statement change request,+,state,0.088273676,MA,+,income,-0.076590194,49800,-,avgTxnSize90d,-0.076386404,50.01,-,creditScore,0.04812083,750,+,APPROVED,1,1,49800,11,750,MA,13,50.01,650.13,  statement change request,7,1,0,50.09,1,3,1063.22,413.09,1,1,1,452.68,2,22000,0,5,0,2,0,0,612
0,1,0,0.1,1,totalPaymentAmt90d,-3.048848161,751.2,---,overpaymentAmt90d,-2.888463217,0,---,totalSpend90d,-2.251946893,751.2,--,totalMerchCred90d,-1.340725633,139.5,--,nbrCustReqRefunds90d,-1.255843496,1,--,avgTxnSize90d,-0.621510722,46.95,--,maxRevolveLine,0,9000,<+,creditScore,0,683,<+,tenureMonths,0,33,<+,income,0,37500,<+,APPROVED,1,2,37500,33,683,NY,16,46.95,751.2,statement transfer card replace,6,3,0,139.5,1,6,751.2,0,0,1,1,59.28,1,9000,0,7,1,10,2,0,613
0,1,0,0.1,1,totalPaymentAmt90d,-3.055865067,60,---,totalSpend90d,-2.898217184,238.24,---,overpaymentAmt90d,-2.516892176,0,---,totalMerchCred90d,-1.758669739,0,--,nbrCustReqRefunds90d,-1.245309801,1,--,avgTxnSize90d,-0.547290788,119.12,-,maxRevolveLine,0,19000,<+,creditScore,0,716,<+,tenureMonths,0,0,<+,income,0,21100,<+,APPROVED,1,1,21100,0,716,RI,2,119.12,238.24,plastic replace late payment plastic replace statement,1,0,0,0,0,6,60,0,0,1,1,44.55,0,19000,1,2,0,8,0,0,614
0,1,0,0.1,1,totalPaymentAmt90d,-3.149338992,476.64,---,totalSpend90d,-2.893424851,476.64,---,overpaymentAmt90d,-2.61826493,0,---,totalMerchCred90d,-1.347041133,53.72,--,nbrCustReqRefunds90d,-1.23763835,1,--,avgTxnSize90d,-0.621510722,26.48,--,maxRevolveLine,0,12000,<+,creditScore,0,676,<+,tenureMonths,0,23,<+,income,0,44300,<+,APPROVED,1,1,44300,23,676,RI,18,26.48,476.64,  transfer statement,9,2,0,53.72,1,2,476.64,0,0,1,1,47.52,1,12000,0,0,0,8,0,0,615
0.002587879,0.997412121,0,0.1,1,creditScore,1.454587835,771,+++,totalPaymentAmt90d,-0.749164969,60,---,totalMerchCred90d,-0.458647372,16,--,overpaymentAmt90d,0.449070492,23.28,++,nbrCustReqRefunds90d,-0.391779397,1,--,totalSpend90d,-0.082877697,36.72,-,avgTxnSize90d,-0.053635227,12.24,-,csrNotes,-0.037267817,nan,-,maxRevolveLine,-0.018774304,18000,-,tenureMonths,-0.007602811,5,-,APPROVED,1,1,7900,5,771,NY,3,12.24,36.72, ,2,1,1,16,0,3,60,23.28,1,1,1,63.35,0,18000,0,3,0,9,0,0,616
0,1,0,0.1,1,totalPaymentAmt90d,-2.930555025,2074.72,---,overpaymentAmt90d,-2.88488257,0,---,totalSpend90d,-2.244793812,2074.72,--,totalMerchCred90d,-1.305602883,128.12,--,nbrCustReqRefunds90d,-1.259184926,1,--,avgTxnSize90d,-0.621510722,129.67,--,maxRevolveLine,0,11000,<+,creditScore,0,701,<+,tenureMonths,0,20,<+,income,0,45600,<+,APPROVED,1,1,45600,20,701,RI,16,129.67,2074.72, ,10,1,0,128.12,1,3,2074.72,0,0,1,1,62.03,0,11000,0,2,0,7,3,0,617
0.44176805,0.558231951,1,0.1,1,overpaymentAmt90d,2.505053026,3180.29,+++,totalPaymentAmt90d,0.320283571,3547.55,++,creditScore,-0.222247673,734,--,income,0.167351608,5300,+,csrNotes,0.072004634,transfer statement   bitcoin,+,nbrCustReqRefunds90d,0.045669275,1,+,maxRevolveLine,0.045089169,6000,+,tenureMonths,0.038230322,21,+,totalSpend90d,0.019735395,367.26,+,totalMerchCred90d,-0.014311814,0,-,APPROVED,1,3,5300,21,734,MA,3,122.42,367.26,transfer statement   bitcoin,2,0,0,0,0,2,3547.55,3180.29,1,1,1,3199.98,2,6000,1,8,0,12,2,0,618
0.502001534,0.497998466,1,0.1,1,overpaymentAmt90d,3.466843339,2641.06,+++,csrNotes,0.405008123,"late payment   password change lost cardrefund requested. supply additional details, call back",++,totalPaymentAmt90d,0.36798389,5343.04,++,tenureMonths,0.147488332,5,+,nbrCustReqRefunds90d,0.147428579,1,+,maxRevolveLine,0.126759655,7000,+,creditScore,-0.092024373,701,-,income,0.082737402,15800,+,totalMerchCred90d,0.073047467,0,+,avgTxnSize90d,0.053001612,300.22,+,APPROVED,1,1,15800,5,701,ME,9,300.22,2701.98,"late payment   password change lost cardrefund requested. supply additional details, call back",5,0,0,0,0,3,5343.04,2641.06,1,1,1,2659.76,3,7000,0,6,0,8,2,0,619
0,1,0,0.1,1,totalPaymentAmt90d,-3.052021878,1400.84,---,overpaymentAmt90d,-2.744076152,0,---,totalSpend90d,-2.686424993,1400.84,---,totalMerchCred90d,-1.330894779,0,--,nbrCustReqRefunds90d,-1.249491591,1,--,avgTxnSize90d,-0.63895559,100.06,--,maxRevolveLine,0,13000,<+,creditScore,0,670,<+,tenureMonths,0,34,<+,income,0,89200,<+,APPROVED,1,1,89200,34,670,PA,14,100.06,1400.84,late payment password change transfer statement,7,0,0,0,0,3,1400.84,0,0,1,1,52.77,0,13000,1,3,1,3,0,0,620
0.013398282,0.986601718,0,0.1,1,totalSpend90d,1.224791524,9592.24,+++,totalMerchCred90d,-0.810012887,778.56,---,csrNotes,0.462165263,billing address   statement moneyorder payment,++,overpaymentAmt90d,-0.458623513,0,--,nbrCustReqRefunds90d,-0.24214315,1,--,avgTxnSize90d,0.157980571,195.76,+,totalPaymentAmt90d,-0.087971616,479.61,-,income,-0.058746276,56200,-,tenureMonths,0.023581532,2,+,creditScore,-0.011408816,725,-,APPROVED,1,2,56200,2,725,MA,49,195.76,9592.24,billing address   statement moneyorder payment,20,4,0,778.56,1,3,479.61,0,0,1,1,101.54,3,9000,1,2,0,10,1,0,621
0,1,0,0.1,1,totalPaymentAmt90d,-3.09532991,60,---,totalSpend90d,-2.460394729,283.92,---,overpaymentAmt90d,-2.044759712,0,---,totalMerchCred90d,-1.313883917,25.58,--,nbrCustReqRefunds90d,-1.169156254,1,--,income,-0.081597152,21500,-,maxRevolveLine,0,8000,<+,creditScore,0,672,<+,avgTxnSize90d,0,13.52,<+,tenureMonths,0,8,<+,APPROVED,1,0,21500,8,672,NJ,21,13.52,283.92,password change password change late payment,13,2,0,25.58,0,2,60,0,0,1,1,32.85,0,8000,0,1,0,5,1,0,622
0.000173913,0.999826087,0,0.1,1,creditScore,4.113003879,761,+++,avgTxnSize90d,4.013116697,420.14,+++,totalPaymentAmt90d,-1.412174856,1680.56,--,overpaymentAmt90d,-1.356413806,0,--,totalSpend90d,-0.91237353,1680.56,--,totalMerchCred90d,-0.886281655,0,--,nbrCustReqRefunds90d,-0.731370398,1,--,tenureMonths,-0.04543553,3,-,,,,,,,,,APPROVED,1,2,8400,3,761,MA,4,420.14,1680.56, ,1,0,0,0,0,3,1680.56,0,0,1,1,78.18,0,18000,1,2,0,8,2,0,623
0,1,0,0.1,1,totalPaymentAmt90d,-3.092621876,338.2,---,overpaymentAmt90d,-2.777604857,0,---,totalSpend90d,-2.776752772,338.2,---,totalMerchCred90d,-1.799123872,0,--,nbrCustReqRefunds90d,-1.240537902,1,--,avgTxnSize90d,-0.660481023,84.55,--,maxRevolveLine,0,15000,<+,creditScore,0,680,<+,tenureMonths,0,4,<+,income,0,54000,<+,APPROVED,1,3,54000,4,680,MA,4,84.55,338.2,password change billing address billing address statement,3,0,0,0,0,4,338.2,0,0,1,1,67.01,0,15000,0,2,0,6,1,0,624
9.09091E-05,0.999909091,0,0.1,1,maxRevolveLine,4.509949919,6000,+++,creditScore,2.25497496,706,++,overpaymentAmt90d,-1.526130453,0,--,totalSpend90d,1.326720165,201.35,++,totalMerchCred90d,-0.882449869,0,--,nbrCustReqRefunds90d,-0.813243961,1,--,totalPaymentAmt90d,-0.804130608,201.35,--,avgTxnSize90d,-0.064970409,40.27,-,,,,,,,,,APPROVED,1,0,6600,50,706,MA,5,40.27,201.35,plastic replace transfer plastic replace statement,0,0,0,0,0,5,201.35,0,0,1,1,44.34,0,6000,1,1,0,9,2,0,625
0.001825944,0.998174056,0,0.1,1,overpaymentAmt90d,4.71464828,60,+++,avgTxnSize90d,2.741861983,116.1,+++,creditScore,1.570219057,758,++,totalMerchCred90d,-1.035966751,0,--,totalPaymentAmt90d,-0.96224269,60,--,nbrCustReqRefunds90d,-0.606292987,1,-,totalSpend90d,-0.601574717,0,-,income,-0.132384464,33800,-,csrNotes,-0.061227167,change request card replace card replace,-,maxRevolveLine,-0.015094162,12000,-,APPROVED,1,2,33800,8,758,NJ,0,116.1,0,change request card replace card replace,0,0,0,0,0,2,60,60,1,1,1,60,0,12000,1,1,0,6,1,0,626
0,1,0,0.1,1,totalSpend90d,-8.063163493,3318.13,---,totalMerchCred90d,-5.592147326,553.24,---,overpaymentAmt90d,-2.785273173,0,--,income,-1.705901945,53000,--,avgTxnSize90d,-1.618245389,80.93,--,nbrCustReqRefunds90d,-1.187749352,1,--,totalPaymentAmt90d,-1.025542196,2841.83,-,tenureMonths,-0.460526919,9,-,creditScore,-0.413522806,731,-,maxRevolveLine,0,12000,<+,APPROVED,1,0,53000,9,731,PA,41,80.93,3318.13,statement late payment password change,17,7,1,553.24,3,4,2841.83,0,0,1,1,27.48,4,12000,1,4,0,7,2,0,627
0.000790623,0.999209377,0,0.1,1,totalSpend90d,-2.350716595,2966.38,---,avgTxnSize90d,1.550874766,20.89,+++,totalMerchCred90d,-1.108975497,271.9,--,overpaymentAmt90d,-0.84021605,0,--,nbrCustReqRefunds90d,-0.554629074,1,--,tenureMonths,0.378898366,33,++,totalPaymentAmt90d,0.113169169,2966.38,+,creditScore,-0.066388583,721,-,income,0.044000314,87000,+,state,0,NY,<-,APPROVED,1,0,87000,33,721,NY,142,20.89,2966.38,customer call change request  ,57,13,3,271.9,3,3,2966.38,0,0,1,1,33.23,3,8000,1,2,0,11,2,0,628
0.000403992,0.999596008,0,0.1,1,avgTxnSize90d,1.40951339,381.03,+++,overpaymentAmt90d,-1.115321862,0,--,totalMerchCred90d,-0.741386132,375,--,nbrCustReqRefunds90d,-0.674191092,1,--,totalPaymentAmt90d,-0.622185442,304.82,--,income,-0.376086315,31800,--,totalSpend90d,0.335068916,6096.48,++,creditScore,-0.294064953,718,--,tenureMonths,-0.040236573,42,-,csrNotes,0,  plastic replace  ,<-,APPROVED,1,1,31800,42,718,NY,16,381.03,6096.48,  plastic replace  ,10,1,1,375,1,4,304.82,0,0,1,1,50.07,4,9000,1,2,0,10,2,0,629
0.004091304,0.995908696,0,0.1,1,csrNotes,3.715448497,billing address customer call   atm limit,+++,totalMerchCred90d,-1.595441218,698.45,---,overpaymentAmt90d,-0.562555625,0,--,totalSpend90d,-0.487183412,2348.8,--,nbrCustReqRefunds90d,-0.405117642,1,--,totalPaymentAmt90d,-0.199058855,2348.8,-,income,-0.186426109,131000,-,avgTxnSize90d,-0.181370721,117.44,-,state,-0.056532488,CT,-,tenureMonths,0.022795642,29,+,APPROVED,1,2,131000,29,739,CT,20,117.44,2348.8,billing address customer call   atm limit,10,6,1,698.45,2,7,2348.8,0,0,1,1,34.74,7,8000,0,8,0,6,2,0,630
0,1,0,0.1,1,totalPaymentAmt90d,-6.399216239,60,---,totalSpend90d,-5.984723903,32.5,---,avgTxnSize90d,-4.498860324,0.5,--,totalMerchCred90d,-4.235721697,1.59,--,maxRevolveLine,-2.25438352,12000,--,overpaymentAmt90d,-1.801679268,27.5,--,tenureMonths,-1.671082285,12,--,nbrCustReqRefunds90d,-1.172552017,1,-,creditScore,-0.772295975,672,-,income,0,94400,<+,APPROVED,1,1,94400,12,672,PA,65,0.5,32.5,billing address customer call customer call,35,4,1,1.59,1,4,60,27.5,1,1,1,82.98,0,12000,1,2,1,10,0,0,631
0.014262937,0.985737063,0,0.1,1,overpaymentAmt90d,-0.412252887,0,---,totalSpend90d,-0.300093677,7559.92,---,totalPaymentAmt90d,-0.235517823,378,--,nbrCustReqRefunds90d,-0.216742987,1,--,creditScore,-0.085946041,668,--,avgTxnSize90d,-0.070322356,142.64,-,csrNotes,-0.051448186,transfer late payment plastic replace bitcoin,-,totalMerchCred90d,-0.050133357,999.84,-,maxRevolveLine,0.036372395,5000,+,income,-0.020735484,46900,-,APPROVED,1,1,46900,3,668,ME,53,142.64,7559.92,transfer late payment plastic replace bitcoin,29,7,1,999.84,3,5,378,0,0,1,1,27.39,5,5000,1,4,0,8,0,0,632
0.183944753,0.816055247,1,0.1,1,nbrCustReqRefunds90d,11.02930322,2,+++,avgTxnSize90d,-0.265088217,0,-,csrNotes,-0.170359993,nan,-,tenureMonths,0.167953575,1,+,overpaymentAmt90d,0.155284301,60,+,maxRevolveLine,-0.133206226,9000,-,creditScore,-0.073509671,716,-,totalMerchCred90d,-0.029397386,0,-,income,0.021564351,50500,+,totalSpend90d,-0.018200789,0,-,APPROVED,1,1,50500,1,716,RI,20,0,0, ,11,2,1,0,0,3,60,60,1,2,1,60,0,9000,0,3,0,7,0,0,633
0,1,0,0.1,1,totalPaymentAmt90d,-3.125786766,91.55,---,overpaymentAmt90d,-2.652382139,0,---,totalSpend90d,-2.409856684,91.55,---,totalMerchCred90d,-1.33679715,19,--,nbrCustReqRefunds90d,-1.234487369,1,--,avgTxnSize90d,-0.527441407,18.31,-,maxRevolveLine,0,13000,<+,creditScore,0,672,<+,tenureMonths,0,55,<+,income,0,10500,<+,APPROVED,1,2,10500,55,672,MA,5,18.31,91.55,change request late payment change request,1,1,1,19,1,6,91.55,0,0,1,1,40.9,0,13000,1,3,0,10,3,0,634
0.284158418,0.715841582,1,0.1,1,overpaymentAmt90d,2.399127483,2739.45,+++,maxRevolveLine,-0.148075041,18000,-,creditScore,-0.126832604,738,-,tenureMonths,-0.107840664,5,-,totalPaymentAmt90d,0.102401101,2739.45,+,totalMerchCred90d,-0.082061041,0,-,state,0.071403065,RI,+,avgTxnSize90d,-0.03946662,55.84,-,income,-0.035258345,14500,-,nbrCustReqRefunds90d,0.031413417,1,+,APPROVED,1,1,14500,5,738,RI,0,55.84,0, ,0,0,0,0,0,2,2739.45,2739.45,1,1,1,2739.45,2,18000,1,4,0,7,0,0,635
0,1,0,0.1,1,totalPaymentAmt90d,-3.049542118,1487.71,---,overpaymentAmt90d,-2.928583484,0,---,totalSpend90d,-2.252254735,1487.71,--,totalMerchCred90d,-1.315302789,94.05,--,nbrCustReqRefunds90d,-1.25273219,1,--,avgTxnSize90d,-0.599186363,28.07,--,maxRevolveLine,0,7000,<+,creditScore,0,724,<+,tenureMonths,0,23,<+,income,0,64500,<+,APPROVED,1,0,64500,23,724,NY,53,28.07,1487.71, ,31,4,3,94.05,2,3,1487.71,0,0,1,1,60.75,0,7000,1,1,0,6,1,0,636
0,1,0,0.1,1,totalPaymentAmt90d,-3.056450169,687.6,---,totalSpend90d,-2.430350202,687.6,---,overpaymentAmt90d,-2.311402545,0,---,totalMerchCred90d,-1.325643247,46.04,--,nbrCustReqRefunds90d,-1.194194242,1,--,avgTxnSize90d,-1.136426136,22.92,--,maxRevolveLine,0,13000,<+,creditScore,0,784,<+,tenureMonths,0,4,<+,income,0,66100,<+,APPROVED,1,0,66100,4,784,NY,30,22.92,687.6,transfer billing address  ,18,2,1,46.04,0,5,687.6,0,0,1,1,26.51,1,13000,1,2,0,4,1,0,637
0.0001,0.9999,0,0.1,1,creditScore,4.605269191,628,+++,maxRevolveLine,3.684215353,17000,+++,totalPaymentAmt90d,-1.685007322,60,--,overpaymentAmt90d,-1.331249295,0,--,totalSpend90d,-1.217734414,237.55,--,totalMerchCred90d,-1.030679831,0,--,nbrCustReqRefunds90d,-0.80244675,1,--,avgTxnSize90d,-0.436417146,237.55,-,tenureMonths,-0.289087185,2,-,csrNotes,0,card replace transfer   statement,<-,APPROVED,1,2,39800,2,628,NY,1,237.55,237.55,card replace transfer   statement,1,0,0,0,0,6,60,0,0,1,1,34.48,0,17000,1,1,0,6,1,0,638
0,1,0,0.1,1,totalPaymentAmt90d,-3.093834954,288.95,---,totalSpend90d,-2.805947707,288.95,---,overpaymentAmt90d,-2.796000966,0,---,totalMerchCred90d,-1.318654072,57.94,--,nbrCustReqRefunds90d,-1.281806127,1,--,avgTxnSize90d,-0.599186363,57.79,--,maxRevolveLine,0,9000,<+,creditScore,0,756,<+,tenureMonths,0,28,<+,income,0,15800,<+,APPROVED,1,2,15800,28,756,MA,5,57.79,288.95, ,3,1,0,57.94,0,4,288.95,0,0,1,1,46.13,0,9000,0,3,0,6,0,0,639
